# ── SECTION 1: CYCLE-LEVEL PREDICTIONS ──
engine_id,cycle,true_RUL,predicted_RUL
21,106,16,18.21
21,106,16,18.22
21,106,16,18.21
21,106,16,18.2
21,107,15,17.23
21,107,15,17.23
21,107,15,17.23
21,107,15,17.23
21,107,15,17.23
21,107,15,17.22
21,108,14,16.16
21,108,14,16.16
21,108,14,16.16
21,108,14,16.16
21,108,14,16.16
21,108,14,16.17
21,109,13,14.81
21,109,13,14.81
21,109,13,14.81
21,109,13,14.8
21,109,13,14.81
21,109,13,14.8
21,110,12,13.86
21,110,12,13.86
21,110,12,13.85
21,110,12,13.86
21,110,12,13.86
21,110,12,13.86
21,111,11,12.73
21,111,11,12.72
21,111,11,12.72
21,111,11,12.72
21,111,11,12.73
21,111,11,12.73
21,112,10,11.28
21,112,10,11.28
21,112,10,11.27
21,112,10,11.27
21,112,10,11.28
21,112,10,11.28
21,113,9,9.79
21,113,9,9.79
21,113,9,9.79
21,113,9,9.8
21,113,9,9.79
21,113,9,9.8
21,114,8,8.57
21,114,8,8.58
21,114,8,8.57
21,114,8,8.57
21,114,8,8.57
21,114,8,8.56
21,115,7,7.49
21,115,7,7.49
21,115,7,7.49
21,115,7,7.5
21,115,7,7.49
21,115,7,7.5
21,116,6,5.98
21,116,6,5.98
21,116,6,5.98
21,116,6,5.99
21,116,6,5.98
21,116,6,5.97
21,117,5,4.51
21,117,5,4.51
21,117,5,4.51
21,117,5,4.5
21,117,5,4.51
21,117,5,4.52
21,118,4,3.44
21,118,4,3.44
21,118,4,3.44
21,118,4,3.44
21,118,4,3.44
21,118,4,3.45
21,119,3,2.15
21,119,3,2.15
21,119,3,2.15
21,119,3,2.15
21,119,3,2.15
21,119,3,2.17
21,120,2,1.11
21,120,2,1.11
21,120,2,1.11
21,120,2,1.11
21,120,2,1.11
21,120,2,1.11
21,121,1,0.53
21,121,1,0.53
21,121,1,0.53
21,121,1,0.54
21,121,1,0.53
21,121,1,0.53
21,122,0,0.04
21,122,0,0.04
21,122,0,0.04
21,122,0,0.03
21,122,0,0.04
21,122,0,0.03

# ── SECTION 2: ENGINE METRICS ──
engine_id,num_cycles,MSE,MAE,RMSE,R2
21,100,1.6618,1.0618,1.2891,0.9283
OVERALL,100,1.6618,1.0618,1.2891,0.9283
