# ── SECTION 1: CYCLE-LEVEL PREDICTIONS ──
engine_id,cycle,true_RUL,predicted_RUL
72,142,16,16.21
72,142,16,16.23
72,142,16,16.24
72,142,16,16.24
72,143,15,15.52
72,143,15,15.53
72,143,15,15.54
72,143,15,15.54
72,143,15,15.53
72,143,15,15.52
72,144,14,14.19
72,144,14,14.19
72,144,14,14.19
72,144,14,14.19
72,144,14,14.19
72,144,14,14.2
72,145,13,13.84
72,145,13,13.84
72,145,13,13.85
72,145,13,13.84
72,145,13,13.84
72,145,13,13.83
72,146,12,12.47
72,146,12,12.47
72,146,12,12.47
72,146,12,12.48
72,146,12,12.47
72,146,12,12.48
72,147,11,11.18
72,147,11,11.18
72,147,11,11.18
72,147,11,11.19
72,147,11,11.18
72,147,11,11.15
72,148,10,10.52
72,148,10,10.52
72,148,10,10.52
72,148,10,10.53
72,148,10,10.55
72,148,10,10.54
72,149,9,9.38
72,149,9,9.37
72,149,9,9.38
72,149,9,9.38
72,149,9,9.37
72,149,9,9.38
72,150,8,7.83
72,150,8,7.82
72,150,8,7.83
72,150,8,7.84
72,150,8,7.83
72,150,8,7.83
72,151,7,7.13
72,151,7,7.13
72,151,7,7.13
72,151,7,7.12
72,151,7,7.13
72,151,7,7.14
72,152,6,5.9
72,152,6,5.9
72,152,6,5.9
72,152,6,5.89
72,152,6,5.9
72,152,6,5.88
72,153,5,4.57
72,153,5,4.56
72,153,5,4.56
72,153,5,4.56
72,153,5,4.59
72,153,5,4.55
72,154,4,3.98
72,154,4,3.98
72,154,4,3.98
72,154,4,3.99
72,154,4,4.01
72,154,4,3.96
72,155,3,3.08
72,155,3,3.08
72,155,3,3.08
72,155,3,3.07
72,155,3,3.11
72,155,3,3.07
72,156,2,2.14
72,156,2,2.14
72,156,2,2.14
72,156,2,2.15
72,156,2,2.14
72,156,2,2.13
72,157,1,1.46
72,157,1,1.46
72,157,1,1.46
72,157,1,1.47
72,157,1,1.46
72,157,1,1.46
72,158,0,0.21
72,158,0,0.21
72,158,0,0.21
72,158,0,0.21
72,158,0,0.21
72,158,0,0.2

# ── SECTION 2: ENGINE METRICS ──
engine_id,num_cycles,MSE,MAE,RMSE,R2
72,100,0.136,0.3014,0.3688,0.9941
OVERALL,100,0.136,0.3014,0.3688,0.9941
